StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q6,Q7,Q9,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,n_40hz_rating_1,n_40hz_rating_2,n_40hz_rating_3,n_40hz_rating_4,n_40hz_rating_5,n_40hz_rating_6,n_40hz_rating_7,Q149_First Click,Q149_Last Click,Q149_Page Submit,Q149_Click Count,n_info1,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,no_info_40hz_rating_1,no_info_40hz_rating_2,no_info_40hz_rating_3,no_info_40hz_rating_4,no_info_40hz_rating_5,no_info_40hz_rating_6,no_info_40hz_rating_7,Q148_First Click,Q148_Last Click,Q148_Page Submit,Q148_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,ps_info2,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,ps_40hz_rating_1,ps_40hz_rating_2,ps_40hz_rating_3,ps_40hz_rating_4,ps_40hz_rating_5,ps_40hz_rating_6,ps_40hz_rating_7,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,ps_brown_warning,Q63_First Click,Q63_Last Click,Q63_Page Submit,Q63_Click Count,Q136_First Click,Q136_Last Click,Q136_Page Submit,Q136_Click Count,pb_40Hz_ratings_1,pb_40Hz_ratings_2,pb_40Hz_ratings_3,pb_40Hz_ratings_4,pb_40Hz_ratings_5,pb_40Hz_ratings_6,pb_40Hz_ratings_7,Q145_First Click,Q145_Last Click,Q145_Page Submit,Q145_Click Count,pb_brown_info1,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,brown_ratings_1,brown_ratings_2,brown_ratings_3,brown_ratings_4,brown_ratings_5,brown_ratings_6,brown_ratings_7,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,prior_expectancy_NPS_GROUP,prior_expectancy,40hz_expectancy_NPS_GROUP,40hz_expectancy,brown_expectancy_NPS_GROUP,brown_expectancy,post_expectancy_NPS_GROUP,post_expectancy,noise_sensitivity_1,noise_sensitivity_2,noise_sensitivity_3,noise_sensitivity_4,noise_sensitivity_5,gender,age,Q2,Q28,SC0,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I consent to participate in this research,Please enter your Prolific ID (this should be automatically completed for you):,Do you have any hearing loss or hearing difficulties?,"This study involves two short listening tasks. You must use headphones to complete the listening tasks. This information was provided on the Prolific platform, and in the Participant Information Statement and Consent Form you have just agreed to. 
What type of headphones (brand, wired/bluetooth, in-ear/over-ear) are you going to use to complete the listening tasks?",How many beeps did you count in the test audio track?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dizziness or blurred vision","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dull headache","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Nausea or queasiness","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Feeling relaxed","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Improved mood","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Increased focus","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Please select 'Not at all (0)'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Next you will be listening to a different low-frequency noise.

This second exposure contains the kind of signal noise produced by Brownian motion (the random motion of particles suspended in a medium). This noise has higher intensity at lower frequencies. 
Some people report experiencing discomfort when they are exposed to this random-pattern low-frequency noise. 
Below are side effects that people have reported when listening to this low-frequency noise. Please read them carefully, and click on each to indicate that you have read it.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dizziness or blurred vision","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dull headache","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Nausea or queasiness","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Feeling relaxed","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Improved mood","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Increased focus","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Please select 'Not at all (0)'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The first low-frequency noise you will listen to contains a pure tone at the frequency of 40Hz. 
Pure 40Hz noise has been used to treat chronic pain (fibromyalgia) sufferers, for its ability to cause muscle relaxation, relieve pain, improve mood, and increase focus.
Below are some of the beneficial effects that people have reported when listening to this noise. Please read them carefully, and click on each to indicate that you have read it.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dizziness or blurred vision","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dull headache","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Nausea or queasiness","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Feeling relaxed","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Improved mood","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Increased focus","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Please select 'Not at all (0)'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Next you will be listening to a different low-frequency noise. 
This second exposure contains the kind of signal noise produced by Brownian motion (the random motion of particles suspended in a medium). This noise has higher intensity at lower frequencies.


Some people report experiencing discomfort when they are exposed to this random-pattern low-frequency noise.

Below are side effects that people have reported when listening to this low-frequency noise. Please read them carefully, and click on each to indicate that you have read it.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dizziness or blurred vision","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dull headache","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Nausea or queasiness","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Feeling relaxed","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Improved mood","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Increased focus","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the first low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Please select 'Not at all (0)'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Next you will be listening to a different low-frequency noise.

This second exposure contains the kind of signal noise produced by Brownian motion (the random motion of particles suspended in a medium). This noise has higher intensity at lower frequencies.
Some people report experiencing discomfort when they are exposed to this random-pattern low-frequency noise.

Below are side effects that people have reported when listening to this low-frequency noise. Please read them carefully, and click on each to indicate that you have read it.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dizziness or blurred vision","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Dull headache","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Nausea or queasiness","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Feeling relaxed","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Improved mood","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Increased focus","Take a moment to stop and think about how you're feeling right now, and how you felt while you were listening to the second low-frequency noise.


Please rate honestly whether you felt the symptoms or sensations described below, even if mild or short-lived.

During this low-frequency noise exposure, I experienced: - Please select 'Not at all (0)'",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please think back to what you were thinking and feeling just before listening to the first low-fr... - Group,Please think back to what you were thinking and feeling just before listening to the first low-fr...,"To the best of your memory, how much did you expect to feel positive effects/side effects from listening to the first low-frequency noise? - Group","To the best of your memory, how much did you expect to feel positive effects/side effects from listening to the first low-frequency noise?","To the best of your memory, how much did you expect to feel negative side effects from listening to the second low-frequency noise? - Group","To the best of your memory, how much did you expect to feel negative side effects from listening to the second low-frequency noise?","And now, currently how much do you expect that exposure to low-frequency noise can cause positive or negative effects/side-effects? Please answer honestly. - Group","And now, currently how much do you expect that exposure to low-frequency noise can cause positive or negative effects/side-effects? Please answer honestly.","We would like to ask you a few more questions about yourself. 

On the scale below, please tell us how you usually respond to noise, from 1 (strongly disagree) to 6 (strongly agree): - I am sensitive to noise","We would like to ask you a few more questions about yourself. 

On the scale below, please tell us how you usually respond to noise, from 1 (strongly disagree) to 6 (strongly agree): - I find it hard to relax in a place that's noisy","We would like to ask you a few more questions about yourself. 

On the scale below, please tell us how you usually respond to noise, from 1 (strongly disagree) to 6 (strongly agree): - I get mad at people who make noise that keeps me from getting work done","We would like to ask you a few more questions about yourself. 

On the scale below, please tell us how you usually respond to noise, from 1 (strongly disagree) to 6 (strongly agree): - I get annoyed when my neighbours are noisy","We would like to ask you a few more questions about yourself. 

On the scale below, please tell us how you usually respond to noise, from 1 (strongly disagree) to 6 (strongly agree): - I get used to most noises without much difficulty",What is your gender?,How old are you (in years)?,"Please remind us, what type of headphones (brand, wired/bluetooth, in-ear/over-ear) did you use to complete the listening task?","Finally, please briefly describe what this image shows in the text box below:",Score,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID116_6""}","{""ImportId"":""QID116_8""}","{""ImportId"":""QID116_30""}","{""ImportId"":""QID116_32""}","{""ImportId"":""QID116_34""}","{""ImportId"":""QID116_35""}","{""ImportId"":""QID116_36""}","{""ImportId"":""QID158_FIRST_CLICK""}","{""ImportId"":""QID158_LAST_CLICK""}","{""ImportId"":""QID158_PAGE_SUBMIT""}","{""ImportId"":""QID158_CLICK_COUNT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID49_FIRST_CLICK""}","{""ImportId"":""QID49_LAST_CLICK""}","{""ImportId"":""QID49_PAGE_SUBMIT""}","{""ImportId"":""QID49_CLICK_COUNT""}","{""ImportId"":""QID80_FIRST_CLICK""}","{""ImportId"":""QID80_LAST_CLICK""}","{""ImportId"":""QID80_PAGE_SUBMIT""}","{""ImportId"":""QID80_CLICK_COUNT""}","{""ImportId"":""QID103_6""}","{""ImportId"":""QID103_8""}","{""ImportId"":""QID103_30""}","{""ImportId"":""QID103_32""}","{""ImportId"":""QID103_34""}","{""ImportId"":""QID103_35""}","{""ImportId"":""QID103_36""}","{""ImportId"":""QID157_FIRST_CLICK""}","{""ImportId"":""QID157_LAST_CLICK""}","{""ImportId"":""QID157_PAGE_SUBMIT""}","{""ImportId"":""QID157_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID104_6""}","{""ImportId"":""QID104_8""}","{""ImportId"":""QID104_30""}","{""ImportId"":""QID104_32""}","{""ImportId"":""QID104_34""}","{""ImportId"":""QID104_35""}","{""ImportId"":""QID104_36""}","{""ImportId"":""QID156_FIRST_CLICK""}","{""ImportId"":""QID156_LAST_CLICK""}","{""ImportId"":""QID156_PAGE_SUBMIT""}","{""ImportId"":""QID156_CLICK_COUNT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID72_FIRST_CLICK""}","{""ImportId"":""QID72_LAST_CLICK""}","{""ImportId"":""QID72_PAGE_SUBMIT""}","{""ImportId"":""QID72_CLICK_COUNT""}","{""ImportId"":""QID136_FIRST_CLICK""}","{""ImportId"":""QID136_LAST_CLICK""}","{""ImportId"":""QID136_PAGE_SUBMIT""}","{""ImportId"":""QID136_CLICK_COUNT""}","{""ImportId"":""QID137_6""}","{""ImportId"":""QID137_8""}","{""ImportId"":""QID137_30""}","{""ImportId"":""QID137_32""}","{""ImportId"":""QID137_34""}","{""ImportId"":""QID137_35""}","{""ImportId"":""QID137_36""}","{""ImportId"":""QID154_FIRST_CLICK""}","{""ImportId"":""QID154_LAST_CLICK""}","{""ImportId"":""QID154_PAGE_SUBMIT""}","{""ImportId"":""QID154_CLICK_COUNT""}","{""ImportId"":""QID138""}","{""ImportId"":""QID142_FIRST_CLICK""}","{""ImportId"":""QID142_LAST_CLICK""}","{""ImportId"":""QID142_PAGE_SUBMIT""}","{""ImportId"":""QID142_CLICK_COUNT""}","{""ImportId"":""QID102_6""}","{""ImportId"":""QID102_8""}","{""ImportId"":""QID102_30""}","{""ImportId"":""QID102_32""}","{""ImportId"":""QID102_34""}","{""ImportId"":""QID102_35""}","{""ImportId"":""QID102_36""}","{""ImportId"":""QID155_FIRST_CLICK""}","{""ImportId"":""QID155_LAST_CLICK""}","{""ImportId"":""QID155_PAGE_SUBMIT""}","{""ImportId"":""QID155_CLICK_COUNT""}","{""ImportId"":""QID146_NPS_GROUP""}","{""ImportId"":""QID146""}","{""ImportId"":""QID113_NPS_GROUP""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114_NPS_GROUP""}","{""ImportId"":""QID114""}","{""ImportId"":""QID152_NPS_GROUP""}","{""ImportId"":""QID152""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""SC_88JbmvL3vzzTW3c""}","{""ImportId"":""PROLIFIC_PID""}"
2021-08-02 01:50:59,2021-08-02 02:00:07,0,107.77.194.225,100,547,1,2021-08-02 02:00:07,R_3qDOUb4P0VSuvej,,,,,42.3887939453125,-83.1894989013671875,anonymous,EN,1,6107899ef4414b92f218dc72,2,Beats wireless 3,4,3.076,38.901,40.68,9,4.503,4.503,126.339,1,2,1,1,6,2,4,1,7.837,29.622,30.772,12,"5,7,9",8.131,38.772,40.691,14,2.94,86.175,125.085,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,5,1,2,0,2.083,14.957,17.24,11,1,0,1,2,1,3,1,3,2,4,4,2,3,1,21,Beats wireless 3,"An orange ",1,6107899ef4414b92f218dc72
2021-08-02 01:51:54,2021-08-02 02:02:57,0,37.228.226.186,100,663,1,2021-08-02 02:02:57,R_AgImjuqwwdPtOsV,,,,,53.33819580078125,-6.25909423828125,anonymous,EN,1,60fd5674ba20b7bd0e4cb4c2,2,apple air pods,4,13.836,36.088,37.538,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.957,15.754,140.819,2,1,5,1,8,6,4,1,14.766,31.759,32.891,7,"5,7,9",14.239,14.239,138.754,1,0,0,0,5,3,3,0,8.298,18.66,20.032,7,1,2,1,0,1,6,1,5,3,6,4,3,3,2,25,apple air pods,oranges,1,60fd5674ba20b7bd0e4cb4c2
2021-08-02 01:55:06,2021-08-02 02:06:15,0,92.10.145.80,100,668,1,2021-08-02 02:06:15,R_0cZ9vGtCCdHC73X,,,,,52.4866943359375,-1.898895263671875,anonymous,EN,1,5ba347a02dfb8f000119626c,2,behringer wired over-ear,4,33.941,33.941,35.746,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3",0,0,132.987,0,1,1,1,1,1,3,1,7.779,36.747,38.427,9,"5,7,9",0,0,132.886,0,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,2,0,2.298,11.634,13.102,7,3,10,1,4,2,8,3,10,6,6,6,6,2,1,44,behringer wired over-ear,"Whole, halved and quartered orange (with two leaves that don't look like they are from an orange tree, mint?))",1,5ba347a02dfb8f000119626c
2021-08-02 01:54:36,2021-08-02 02:06:18,0,172.58.141.237,100,701,1,2021-08-02 02:06:18,R_xnjrP8tMVT2arMR,,,,,41.7696990966796875,-87.6985015869140625,anonymous,EN,1,61079a22b431df97064afc3e,2,AKG headphones that came with my Samsung,4,23.051,29.51,30.293,5,99.034,99.034,131.807,1,3,1,1,3,1,5,1,16.75,44.75,46.351,14,"5,7,9",20.987,39.227,57.537,7,15.691,119.101,125.685,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,0,1,0,4.411,25.255,26.983,16,1,5,1,2,1,3,2,7,6,6,6,6,2,2,24,AKG headphones from my Samsung,Sliced orange with leaves,1,61079a22b431df97064afc3e
2021-08-02 01:56:47,2021-08-02 02:06:41,0,24.125.157.222,100,594,1,2021-08-02 02:06:42,R_24kJZjHE1GndlNL,,,,,34.231903076171875,-84.16269683837890625,anonymous,EN,1,61079b3df18d7eafdc54e796,2,"AirPods ",4,4.892,27.816,29.122,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.177,12.177,139.677,1,1,1,1,2,1,3,1,7.992,24.194,26.147,7,"5,7,9",12.487,12.487,135.552,1,0,2,0,3,1,0,0,2.205,15.542,17.288,8,1,1,1,1,1,0,1,2,2,5,5,2,2,2,19,"bluetooth AirPods ","it does not show a picture, only a question mark",1,61079b3df18d7eafdc54e796
2021-08-02 01:54:55,2021-08-02 02:07:11,0,73.70.85.160,100,735,1,2021-08-02 02:07:11,R_2ronFLHvrrjHI8p,,,,,37.928497314453125,-121.6880950927734375,anonymous,EN,1,61003d9294d07884cd73e4a4,2,AirPods,4,7.808,37.125,38.97,6,11.537,137.675,138.51,4,1,1,1,8,8,7,1,5.278,80.684,82.348,42,"5,7,9",1.238,31.764,33.564,18,3.501,110.583,119.754,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,1,0,0,0,0.935,35.01,36.596,22,3,9,2,7,2,8,3,10,5,5,6,2,5,2,20,AirPods,Oranges,1,61003d9294d07884cd73e4a4
2021-08-02 01:55:54,2021-08-02 02:07:43,0,104.220.148.95,100,708,1,2021-08-02 02:07:43,R_1Hc63RSMEMUpziI,,,,,38.788299560546875,-121.236602783203125,anonymous,EN,1,6107959358be35cfd78534f9,2,"SONY, wired, in-ear",4,31.032,31.832,33.054,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.777,37.777,134.128,1,4,1,1,4,2,1,1,13.186,28.445,29.919,7,"5,7,9",0,0,138.544,0,3,0,0,1,0,0,0,2.321,14.163,15.469,8,1,2,1,3,1,2,1,5,4,4,3,2,4,1,23,"SONY, wired, in-ear","An orange, half an orange, and an orange slice.",1,6107959358be35cfd78534f9
2021-08-02 01:56:17,2021-08-02 02:08:10,0,94.102.202.203,100,712,1,2021-08-02 02:08:10,R_2QX1UjP8hxD8fvx,,,,,53.154205322265625,-6.9152984619140625,anonymous,EN,1,6104fa2abf4580fe2b27b7f4,2,"Energy sistem Bluetooth in ear headphones ",4,4.201,31.885,32.991,2,,,,,,,,,,,,,,,,,,,,,,,,,7.702,7.922,137.942,2,5,5,6,1,1,1,1,6.574,21.785,24.914,9,3.677,5.887,130.917,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,1,3,0,2.139,23.989,31.157,9,1,0,1,0,3,10,1,6,6,6,6,4,3,2,32,"Energy sistem Bluetooth in ear headphones ","An orange cut in half and a segment, green leaves in the background ",1,6104fa2abf4580fe2b27b7f4
